,training_data_stanford.csv_diff,count1,training_data_thu.csv_diff,count2,training_data_stanford.csv_SegmentedInput,training_data_thu.csv_SegmentedInput
29,,0,,0, 零存 整取 提前 支取 ,零存 整取 提前 支取
30,,0,,0, 零存 整取 第一 个 月 存 多少 ,零存 整取 第一 个 月 存 多少
31,! 最少,1,! 最 ! 少,2, 零存 整取 定期 最少 存 多少 钱 ,零存 整取 定期 最 少 存 多少 钱
32,,0,,0, 零存 整取 起 存 是 要 多少 钱 ,零存 整取 起 存 是 要 多少 钱
33,! 起 ! 存,2,! 起存,1, 零存 整取 起 存 要 多少 钱 ,零存 整取 起存 要 多少 钱
34,,0,,0, 零存 整取 首 次 存款 金额 ,零存 整取 首 次 存款 金额
35,,0,,0, 零存 整取 业务 需要 存 多少 钱 ,零存 整取 业务 需要 存 多少 钱
36,,0,,0, 零存 整取 一 年 第一 次 最 少 多少 钱 ,零存 整取 一 年 第一 次 最 少 多少 钱
37,,0,,0, 零存 整取 最 少 存 多少 钱 ,零存 整取 最 少 存 多少 钱
38,,0,,0, 想 办理 零存 整取 起 存 多少 ,想 办理 零存 整取 起 存 多少
39,,0,,0, 柜台 零存 整取 开户 都 需要 什么 ,柜台 零存 整取 开户 都 需要 什么
40,,0,,0, 开 零存 整取 需要 开 身份证 吗 ,开 零存 整取 需要 开 身份证 吗
41,,0,,0, 零存 整取 开户 带 什么 去 柜台 办理 ,零存 整取 开户 带 什么 去 柜台 办理
42,,0,,0, 零存 整取 开户 能 代理 吗 ,零存 整取 开户 能 代理 吗
43,,0,,0, 零存 整取 开户 银行 能 代办 吗 ,零存 整取 开户 银行 能 代办 吗
44,,0,,0, 零存 整取 开户 直接 去 网点 吗,零存 整取 开户 直接 去 网点 吗
45,,0,,0, 零存 整取 需要 带 什么 开户 ,零存 整取 需要 带 什么 开户
46,! 开个,1,! 开 ! 个,2, 朋友 替 我 开个 零存 整取 可以 吗 ,朋友 替 我 开 个 零存 整取 可以 吗
47,,0,,0, 我 想 给 我 孩子 办理 零存 整取 可以 吗 ,我 想 给 我 孩子 办理 零存 整取 可以 吗
48,! 想开 ! 零存 ! 怎么 ! 办,4,! 想 ! 开零存 ! 怎么办,3, 我 想开 零存 整取 怎么 办 ,我 想 开零存 整取 怎么办
49,! 销 ! 户,2,! 销户,1, 零存 整取 办理 销 户 支取 ,零存 整取 办理 销户 支取
50,! 销 ! 户,2,! 销户,1, 零存 整取 存单 如何 销 户 ,零存 整取 存单 如何 销户
51,! 销 ! 户,2,! 销户,1, 零存 整取 存折 如何 销 户 ,零存 整取 存折 如何 销户
52,! 销 ! 户,2,! 销户,1, 零存 整取 如何 销 户 ,零存 整取 如何 销户
53,! 销 ! 户,2,! 销户,1, 零存 整取 销 户 能 代办 吗 ,零存 整取 销户 能 代办 吗
54,! 销 ! 户,2,! 销户,1, 零存 整取 销 户 是 代理 可以 吗 ,零存 整取 销户 是 代理 可以 吗
55,! 销 ! 户,2,! 销户,1, 零存 整取 销 户 要 不 要 代 身份证 ,零存 整取 销户 要 不 要 代 身份证
56,! 销 ! 户,2,! 销户,1, 零存 整取 销 户 有 什么 问题 ,零存 整取 销户 有 什么 问题
57,! 销 ! 户,2,! 销户,1, 零存 整取 销 户 注意 什么 ,零存 整取 销户 注意 什么
58,,0,,0, 凭 证件 支取 的 零存 整取 怎么 支取 ,凭 证件 支取 的 零存 整取 怎么 支取
59,,0,,0, 零存 整取 不 存 注意 什么 ,零存 整取 不 存 注意 什么
60,! 怎么 ! 办,2,! 怎么办,1, 零存 整取 当月 忘记 存款 怎么 办 ,零存 整取 当月 忘记 存款 怎么办
61,,0,,0, 零存 整取 后续 存款 注意 什么 ,零存 整取 后续 存款 注意 什么
62,! 漏 ! 存,2,! 漏存,1, 零存 整取 漏 存 违约 ,零存 整取 漏存 违约
63,! 预 ! 存,2,! 预存,1, 零存 整取 能 预 存 吗 ,零存 整取 能 预存 吗
64,,0,,0, 零存 整取 提前 存入 可以 吗 ,零存 整取 提前 存入 可以 吗
65,,0,,0, 零存 整取 违约 后 存入 利息 ,零存 整取 违约 后 存入 利息
66,! 续存,1,! 续 ! 存,2, 零存 整取 续存 的 要求 ,零存 整取 续 存 的 要求
67,! 续存 ! 怎么 ! 办,3,! 续 ! 存 ! 怎么办,3, 零存 整取 续存 未 不 存 怎么 办 ,零存 整取 续 存 未 不 存 怎么办
68,,0,,0, 零存 整取 这个 月 忘记 存 了 怎么 办 ,零存 整取 这个 月 忘记 存 了 怎么 办
69,,0,,0, 按 月 定额 存储 ， 到期 一 次 支取 本息 的 业务 是 什么 ,按 月 定额 存储 ， 到期 一 次 支取 本息 的 业务 是 什么
70,,0,,0, 定期 一 年 ， 每个 月 存 的 定期 是 什么 ,定期 一 年 ， 每个 月 存 的 定期 是 什么
71,,0,,0, 零存 整取 的 含义 ,零存 整取 的 含义
72,,0,,0, 零存 整取 能 约定 存期 吗 ,零存 整取 能 约定 存期 吗
73,,0,,0, 零存 整取 是 到期 一 次 支取 吗 ,零存 整取 是 到期 一 次 支取 吗
74,,0,,0, 零存 整取 是 每个 月 存 一 次 吗 ,零存 整取 是 每个 月 存 一 次 吗
75,,0,,0, 零存 整取 是 什么 ,零存 整取 是 什么
76,,0,,0, 有 按 周期 定期 存款 吗 ,有 按 周期 定期 存款 吗
77,,0,,0, 有 没 有 每个 月 存 一 次 到期 全部 支取 的 定期 ,有 没 有 每个 月 存 一 次 到期 全部 支取 的 定期
78,! 一 ! 点,2,! 一点,1, 有 每月 都 存 一 点 的 定期 吗 ,有 每月 都 存 一点 的 定期 吗
79,! 第12 ! 漏 ! 存 ! 怎么 ! 办,5,! 第 ! 12 ! 漏存 ! 怎么办,4,1 年 期 零存 整取 ， 第12 个 月 漏 存 怎么 办 ,1 年 期 零存 整取 ， 第 12 个 月 漏存 怎么办
80,! 漏 ! 存,2,! 漏存,1,1 年 期 零存 整取 ， 最后 一个 月 漏 存 ， 下 个 月 补 存 是否 可行 ,1 年 期 零存 整取 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行
81,! 漏 ! 存 ! 怎么 ! 办,4,! 漏存 ! 怎么办,2,1 年 期 零存 整取 ， 最后 一个 月 漏 存 怎么 办 ,1 年 期 零存 整取 ， 最后 一个 月 漏存 怎么办
82,! 第12 ! 漏 ! 存 ! 如 ! 第13,5,! 第 ! 12 ! 漏存 ! 如第 ! 13,5, 零存 整取 定期 1 年 ， 第12 个 月 漏 存 ， 如 第13 个 月 补 存 是否 可行 ,零存 整取 定期 1 年 ， 第 12 个 月 漏存 ， 如第 13 个 月 补 存 是否 可行
83,! 漏 ! 存,2,! 漏存,1, 零存 整取 定期 1 年 ， 最后 一个 月 漏 存 ， 下 个 月 补 存 是否 可行 ,零存 整取 定期 1 年 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行
84,! 第12 ! 漏 ! 存 ! 如 ! 第13,5,! 第 ! 12 ! 漏存 ! 如第 ! 13,5, 零存 整取 定期 一 年 ， 第12 个 月 漏 存 ， 如 第13 个 月 补 存 是否 可行 ,零存 整取 定期 一 年 ， 第 12 个 月 漏存 ， 如第 13 个 月 补 存 是否 可行
85,! 漏 ! 存,2,! 漏存,1, 零存 整取 定期 一 年 ， 最后 一个 月 漏 存 ， 下 个 月 补 存 是否 可行 ,零存 整取 定期 一 年 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行
86,! 第12 ! 漏 ! 存 ! 怎么 ! 办,5,! 第 ! 12 ! 漏存 ! 怎么办,4, 一年期 零存 整取 ， 第12 个 月 漏 存 怎么 办 ,一年期 零存 整取 ， 第 12 个 月 漏存 怎么办
87,! 漏 ! 存,2,! 漏存,1, 一年期 零存 整取 ， 最后 一个 月 漏 存 ， 下 个 月 补 存 是否 可行 ,一年期 零存 整取 ， 最后 一个 月 漏存 ， 下 个 月 补 存 是否 可行
88,! 漏 ! 存 ! 怎么 ! 办,4,! 漏存 ! 怎么办,2, 一年期 零存 整取 ， 最后 一个 月 漏 存 怎么 办 ,一年期 零存 整取 ， 最后 一个 月 漏存 怎么办
89,,0,,0, 存 定期 一般 多久 ,存 定期 一般 多久
90,,0,,0, 定期 存款 分 几 期 ,定期 存款 分 几 期
91,,0,,0, 定期 最 长存 多久 ,定期 最 长存 多久
92,,0,,0, 定期 最 短 多久 ,定期 最 短 多久
93,,0,,0, 有 六 个 月 定期 吗 ,有 六 个 月 定期 吗
94,,0,,0, 有 三 个 月 定期 吗 ,有 三 个 月 定期 吗
95,,0,,0, 整存 定期 有 多少 期 ,整存 定期 有 多少 期
96,,0,,0, 整存 定期 有 一 年 吗 ,整存 定期 有 一 年 吗
97,,0,,0, 整存 死期 能 办理 一个 月 吗 ,整存 死期 能 办理 一个 月 吗
98,,0,,0, 整存 整取 能 存 多久 ,整存 整取 能 存 多久
99,! 计息,1,! 计 ! 息,2, 定期 部分 提前 支取 计息 公式 ,定期 部分 提前 支取 计 息 公式
100,,0,,0, 定期 到期 支取 的 计算 公式 ,定期 到期 支取 的 计算 公式
101,,0,,0, 定期 全部 提前 支取 公式 ,定期 全部 提前 支取 公式
102,,0,,0, 定期 转存 后 到期 支取 的 计算 公式 ,定期 转存 后 到期 支取 的 计算 公式
103,,0,,0, 给 我 算算 定期 利息 ,给 我 算算 定期 利息
104,,0,,0, 提前 支取 整存 整取 利息 计算 ,提前 支取 整存 整取 利息 计算
105,! 计息,1,! 计 ! 息,2, 整存 整取 部分 提前 支取 计息 公式 ,整存 整取 部分 提前 支取 计 息 公式
106,,0,,0, 整存 整取 到期 支取 的 计算 公式 ,整存 整取 到期 支取 的 计算 公式
107,,0,,0, 整存 整取 全部 提前 支取 公式 ,整存 整取 全部 提前 支取 公式
108,,0,,0, 整存 整取 转存 后 到期 支取 的 计算 公式 ,整存 整取 转存 后 到期 支取 的 计算 公式
109,! 怎 ! 算,2,! 怎算,1, 定期 利息 过期 支取 怎 算 利息 ,定期 利息 过期 支取 怎算 利息
110,,0,,0, 定期 利息 怎么 算 ,定期 利息 怎么 算
111,,0,,0, 定期 利息 支取 规定 ,定期 利息 支取 规定
112,,0,,0, 定期 没有 到期 支取 利息 怎么 算 ,定期 没有 到期 支取 利息 怎么 算
113,,0,,0, 定期 一 年 没 到期 支取 利息 有 吗 ,定期 一 年 没 到期 支取 利息 有 吗
114,,0,,0, 定期 支取 计算 利息 有 什么 规定 ,定期 支取 计算 利息 有 什么 规定
115,,0,,0, 死期 如何 计算 利息 ,死期 如何 计算 利息
116,,0,,0, 整存 整取 未 到期 取 有 利息 吗 ,整存 整取 未 到期 取 有 利息 吗
117,,0,,0, 整存 整取 怎么 计算 利息 ,整存 整取 怎么 计算 利息
118,,0,,0, 整存 整取 支取 有 什么 要求 ,整存 整取 支取 有 什么 要求
119,,0,,0, 办理 六 个 月 定期 最 少 多少 钱 ,办理 六 个 月 定期 最 少 多少 钱
120,,0,,0, 办理 三 个 月 定期 最 少 多少 钱 ,办理 三 个 月 定期 最 少 多少 钱
121,! 最少,1,! 最 ! 少,2, 办理 一 年 整存 整取 定期 最少 存 多少 钱 ,办理 一 年 整存 整取 定期 最 少 存 多少 钱
122,! 最少,1,! 最 ! 少,2, 定期 最少 存 多少 钱 ,定期 最 少 存 多少 钱
123,,0,,0, 死期 最 少 存 多少 钱 ,死期 最 少 存 多少 钱
124,,0,,0, 我 存 100 定期 可以 吗 ,我 存 100 定期 可以 吗
125,,0,,0, 我 存 10 元 定期 可以 吗 ,我 存 10 元 定期 可以 吗
126,,0,,0, 我 存 1 元 定期 可以 吗 ,我 存 1 元 定期 可以 吗
127,,0,,0, 我 想 存 定期 一般 多少 起 存 ,我 想 存 定期 一般 多少 起 存
128,! 最少,1,! 最 ! 少,2, 整存 整取 定期 最少 存 多少 钱 ,整存 整取 定期 最 少 存 多少 钱
129,! 存 ! 死期,2,! 存死期,1, 存 死期 银行 能 代办 吗 ,存死期 银行 能 代办 吗
130,,0,,0, 定期 存款 带 什么 去 柜台 办理 ,定期 存款 带 什么 去 柜台 办理
131,,0,,0, 柜台 开 定期 都 需要 什么 ,柜台 开 定期 都 需要 什么
132,,0,,0, 开 定期 存款 开户 直接 去 网点 吗,开 定期 存款 开户 直接 去 网点 吗
133,,0,,0, 开 定期 能 代理 吗 ,开 定期 能 代理 吗
134,,0,,0, 开 定期 需要 开 身份证 吗 ,开 定期 需要 开 身份证 吗
135,! 开个,1,! 开 ! 个,2, 朋友 替 我 开个 整存 定期 可以 吗 ,朋友 替 我 开 个 整存 定期 可以 吗
136,,0,,0, 我 想 给 我 孩子 办理 定期 可以 吗 ,我 想 给 我 孩子 办理 定期 可以 吗
137,! 想开 ! 定期 ! 怎么 ! 办,4,! 想 ! 开定期 ! 怎么办,3, 我 想开 定期 存款 怎么 办 ,我 想 开定期 存款 怎么办
138,,0,,0, 整存 整取 需要 带 什么 开户 ,整存 整取 需要 带 什么 开户
139,! 销 ! 户,2,! 销户,1, 定期 存单 如何 销 户 ,定期 存单 如何 销户
140,! 销 ! 户,2,! 销户,1, 定期 存折 如何 销 户 ,定期 存折 如何 销户
141,! 销 ! 户,2,! 销户,1, 定期 销 户 能 代办 吗 ,定期 销户 能 代办 吗
142,! 整存 ! 销 ! 户,3,! 整存销户,1, 定期 整存 销 户 要 不 要 代 身份证 ,定期 整存销户 要 不 要 代 身份证
143,,0,,0, 死期 存单 代理 销 户 ,死期 存单 代理 销 户
144,,0,,0, 死期 没有 到期 能 取 吗 ,死期 没有 到期 能 取 吗
145,! 销 ! 定期,2,! 销定期,1, 销 定期 存款 如何 办理 ,销定期 存款 如何 办理
146,! 销 ! 户,2,! 销户,1, 整存 整取 如何 销 户 ,整存 整取 如何 销户
147,! 销 ! 户,2,! 销户,1, 整存 整取 销 户 代理 ,整存 整取 销户 代理
148,! 销 ! 户,2,! 销户,1, 整存 整取 销 户 范围 ,整存 整取 销户 范围
149,,0,,0, 定期 支取 代理 ,定期 支取 代理
150,,0,,0, 定期 支取 范围 ,定期 支取 范围
151,,0,,0, 定期 支取 通存通兑 范围 ,定期 支取 通存通兑 范围
152,,0,,0, 整存 整取 怎么 支取 ,整存 整取 怎么 支取
153,,0,,0, 整存 整取 支取 代理 ,整存 整取 支取 代理
154,,0,,0, 整存 整取 支取 带 什么 ,整存 整取 支取 带 什么
155,,0,,0, 整存 整取 支取 范围 ,整存 整取 支取 范围
156,,0,,0, 整存 整取 支取 通存通兑 ,整存 整取 支取 通存通兑
157,,0,,0, 整存 整取 支取 有 次数 吗 ,整存 整取 支取 有 次数 吗
158,,0,,0, 整存 整取 支取 有 过期 支取 ,整存 整取 支取 有 过期 支取
159,! 转存,1,! 转 ! 存,2, 到期 整存 整取 能 转存 吗 ,到期 整存 整取 能 转 存 吗
160,,0,,0, 定期 存款 到期 了 转存 吗 ,定期 存款 到期 了 转存 吗
161,,0,,0, 定期 存款 到期 转存 可以 吗 ,定期 存款 到期 转存 可以 吗
162,! 转存,1,! 转 ! 存,2, 定期 到期 能 转存 吗 ,定期 到期 能 转 存 吗
163,,0,,0, 定期 转存 业务 分为 哪 几 种 ,定期 转存 业务 分为 哪 几 种
164,,0,,0, 死期 转存 业务 分为 哪 几 种 ,死期 转存 业务 分为 哪 几 种
165,,0,,0, 有 自动 转存 定期 存款 吗,有 自动 转存 定期 存款 吗
166,,0,,0, 约定 转存 定期 还有 别的 吗 ,约定 转存 定期 还有 别的 吗
167,! 转 ! 定期,2,! 转定期,1, 整存 整取 到期 能 自动 在 转 定期 吗 ,整存 整取 到期 能 自动 在 转定期 吗
168,,0,,0, 整存 整取 到期 转存 吗 ,整存 整取 到期 转存 吗
169,,0,,0, 存 多少 美元 需要 身份证 ,存 多少 美元 需要 身份证
170,! 5万,1,! 5 ! 万,2, 存款 5万 元 及 以上 必须 本人 办理 吗 ,存款 5 万 元 及 以上 必须 本人 办理 吗
171,,0,,0, 存 美元 时 ， 金额 有 什么 限制 ,存 美元 时 ， 金额 有 什么 限制
172,! 存 ! 外币,2,! 存外币,1, 存 外币 需要 身份证 吗 ,存外币 需要 身份证 吗
173,,0,,0, 代理 存钱 需要 什么 证件 ,代理 存钱 需要 什么 证件
174,,0,,0, 到 郑州 银行 营业厅 存 美元 能 代理 办理 吗 ,到 郑州 银行 营业厅 存 美元 能 代理 办理 吗
175,,0,,0, 我 的 身份证 丢 了 ， 可以 使用 复印件 办理 存款 吗,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 存款 吗
176,! 存钱,1,! 存 ! 钱,2, 我 能 到 郑州 银行 营业厅 替 别人 存钱 吗 ,我 能 到 郑州 银行 营业厅 替 别人 存 钱 吗
177,! 无 ! 折 ! 存 ! 卡,4,! 无折存卡,1, 无 折 存 卡 有 什么 要求 ,无折存卡 有 什么 要求
178,,0,,0, 自己 存 多少 钱 时 需要 身份证 ,自己 存 多少 钱 时 需要 身份证
179,,0,,0, 办理 个人 存款 业务 港 澳 居民 应 出具 什么 有效 身份 证件 ,办理 个人 存款 业务 港 澳 居民 应 出具 什么 有效 身份 证件
180,,0,,0, 办理 个人 存款 业务 护照 能 作为 有效 什么 证件 吗 ,办理 个人 存款 业务 护照 能 作为 有效 什么 证件 吗
181,,0,,0, 办理 个人 存款 业务 华侨 的 有效 什么 证件 是 什么 ,办理 个人 存款 业务 华侨 的 有效 什么 证件 是 什么
182,! 警官 ! 证 ! 身份证 ! 件,4,! 警官证 ! 身份 ! 证件,3, 办理 个人 存款 业务 警官 证 能 作为 有效 身份证 件 吗 ,办理 个人 存款 业务 警官证 能 作为 有效 身份 证件 吗
183,,0,,0, 办理 个人 存款 业务 外国人 应 出具 什么 有效 身份 证件 ,办理 个人 存款 业务 外国人 应 出具 什么 有效 身份 证件
184,,0,,0, 办理 个人 存款 业务 未成年人 应 出具 什么 有效 身份 证件 ,办理 个人 存款 业务 未成年人 应 出具 什么 有效 身份 证件
185,,0,,0, 什么 是 个人 存款 有效 身份 证件 ,什么 是 个人 存款 有效 身份 证件
186,,0,,0, 我 是 警察 ， 办理 个人 存款 业务 应该 用 什么 证件 ,我 是 警察 ， 办理 个人 存款 业务 应该 用 什么 证件
187,,0,,0, 有 什么 证件 能 作为 个人 存款 业务 辅助 证件 ,有 什么 证件 能 作为 个人 存款 业务 辅助 证件
188,! 怎么 ! 办,2,! 怎么办,1, 证件 过期 怎么 办 ,证件 过期 怎么办
189,,0,,0, 代理 取款 需要 什么 证件 ,代理 取款 需要 什么 证件
190,,0,,0, 到 郑州 银行 营业厅 取 美元 能 代理 办理 吗 ,到 郑州 银行 营业厅 取 美元 能 代理 办理 吗
191,,0,,0, 取 多少 美元 需要 身份证 ,取 多少 美元 需要 身份证
192,! 5万,1,! 5 ! 万,2, 取款 5万 元 及 以上 必须 本人 办理 吗 ,取款 5 万 元 及 以上 必须 本人 办理 吗
193,,0,,0, 取 美元 时 ， 金额 有 什么 限制 ,取 美元 时 ， 金额 有 什么 限制
194,! 取 ! 外币,2,! 取外币,1, 取 外币 需要 身份证 吗 ,取外币 需要 身份证 吗
195,,0,,0, 我 的 身份证 丢 了 ， 可以 使用 复印件 办理 取款 吗,我 的 身份证 丢 了 ， 可以 使用 复印件 办理 取款 吗
196,! 取钱,1,! 取 ! 钱,2, 我 能 到 郑州 银行 营业厅 替 别人 取钱 吗,我 能 到 郑州 银行 营业厅 替 别人 取 钱 吗
197,! 无 ! 折 ! 取 ! 卡,4,! 无折取卡,1, 无 折 取 卡 有 什么 要求 ,无折取卡 有 什么 要求
198,,0,,0, 自己 取 多少 钱 时 需要 身份证 ,自己 取 多少 钱 时 需要 身份证
199,,0,,0, 存折 重 写 磁能 代办 吗 ,存折 重 写 磁能 代办 吗
200,! 支 ! 控方 ! 式,3,! 支控 ! 方式,2, 更改 支 控方 式 能 代办 吗 ,更改 支控 方式 能 代办 吗
201,,0,,0, 更换 印鉴 能 代办 吗 ,更换 印鉴 能 代办 吗
202,,0,,0, 挂失 能 代办 吗 ,挂失 能 代办 吗
203,,0,,0, 密码 必须 本人 办 吗 ,密码 必须 本人 办 吗
204,,0,,0, 密码 能 代办 吗 ,密码 能 代办 吗
205,,0,,0, 什么 业务 必须 本人 办理 ,什么 业务 必须 本人 办理
206,,0,,0, 我 能 代理 办理 密码 问题 吗 ,我 能 代理 办理 密码 问题 吗
207,! 销 ! 户,2,! 销户,1, 销 户 能 代办 吗 ,销户 能 代办 吗
208,,0,,0, 账户 查询 能 代办 吗 ,账户 查询 能 代办 吗
209,,0,,0, 残币 面积 如何 规定 的 ,残币 面积 如何 规定 的
210,,0,,0, 残币 如何 兑换 ,残币 如何 兑换
211,,0,,0, 什么 地方 能 兑换 残币 ,什么 地方 能 兑换 残币
212,,0,,0, 什么 是 残币 的 票面 四分之三 ,什么 是 残币 的 票面 四分之三
213,,0,,0, 所有 银行 都 能 换 残币 吗 ,所有 银行 都 能 换 残币 吗
214,,0,,0, 银行 能 换 残币 吗 ,银行 能 换 残币 吗
215,,0,,0, 这 钱 破 了 ， 怎么 换 ,这 钱 破 了 ， 怎么 换
216,! 撕 ! 烂,2,! 撕烂,1, 纸币 被 撕 烂 了 ， 怎么 办 ,纸币 被 撕烂 了 ， 怎么 办
217,,0,,0, 纸币 被 洗 了 ， 怎么 办 ,纸币 被 洗 了 ， 怎么 办
218,,0,,0, 纸币 染色 了 ， 怎么 办 ,纸币 染色 了 ， 怎么 办
219,,0,,0, 家里 小孩 不 小心 把 钱 撕 了 ， 能 换 吗 ,家里 小孩 不 小心 把 钱 撕 了 ， 能 换 吗
220,,0,,0, 为什么 刚才 我 到 那个 网点 换钱 非 要 我 提供 身份证 ,为什么 刚才 我 到 那个 网点 换钱 非 要 我 提供 身份证
221,,0,,0, 我 没 带 身份证 能 到 你们 网点 把 残币 换 一下 吗 ,我 没 带 身份证 能 到 你们 网点 把 残币 换 一下 吗
222,,0,,0, 我 手中 有 一 张 残币 ， 到 你们 银行 更换 需 不 需要 身份证 ,我 手中 有 一 张 残币 ， 到 你们 银行 更换 需 不 需要 身份证
223,! 晾干,1,! 晾 ! 干,2, 我 洗 衣服 时候 ， 钱 在 口袋 里面 了 ， 晾干 了 能 到 郑州 银行 换 吗 ,我 洗 衣服 时候 ， 钱 在 口袋 里面 了 ， 晾 干 了 能 到 郑州 银行 换 吗
224,! A ! T ! M ! 取钱,4,! ATM ! 取 ! 钱,3, 我 用 郑州 银行 A T M 取钱 ， 发现 一 张 残币 ， 我 身份证 还 丢 了 ， 怎么 办 ,我 用 郑州 银行 ATM 取 钱 ， 发现 一 张 残币 ， 我 身份证 还 丢 了 ， 怎么 办
225,! 可 ! 是,2,! 可是,1, 我 这 有 一 张 钱 ， 掉 了 个 角 ， 在 你们 银行 换 ， 可 是 我 是 外国人 啊 ， 怎么 办 ,我 这 有 一 张 钱 ， 掉 了 个 角 ， 在 你们 银行 换 ， 可是 我 是 外国人 啊 ， 怎么 办
226,,0,,0, 我 这 有 张 一百 元 的 ， 让 水泡 了 ， 能 换 吗 ,我 这 有 张 一百 元 的 ， 让 水泡 了 ， 能 换 吗
227,,0,,0, 在 你们 银行 换 残币 有 什么 规定 ,在 你们 银行 换 残币 有 什么 规定
228,! 查到,1,! 查 ! 到,2, 别人 拿 着 我 的 身份证 能 查到 我 的 信息 吗 ,别人 拿 着 我 的 身份证 能 查 到 我 的 信息 吗
229,! 我俩,1,! 我 ! 俩,2, 别人 拿 着 我俩 的 身份证 能 查 我 的 信息 吗 ,别人 拿 着 我 俩 的 身份证 能 查 我 的 信息 吗
230,! 能 ! 代办,2,! 能代办,1, 查询 个人 信息 能 代办 吗 ,查询 个人 信息 能代办 吗
231,,0,,0, 查询 账户 信息 需要 带 着 什么 ,查询 账户 信息 需要 带 着 什么
232,! 家 ! 人 ! 查到,3,! 家人 ! 查 ! 到,3, 我 家 人 能 帮 我 查到 我 的 个人 资料 吗 ,我 家人 能 帮 我 查 到 我 的 个人 资料 吗
233,! 查到,1,! 查 ! 到,2, 我 拿 什么 证件 能 查到 我 的 账户 信息 ,我 拿 什么 证件 能 查 到 我 的 账户 信息
234,! 查对 ! 方,2,! 查 ! 对方,2, 我 拿 着 别人 的 身份证 能 查对 方 的 账户 信息 吗 ,我 拿 着 别人 的 身份证 能 查 对方 的 账户 信息 吗
235,,0,,0, 我 能 查 我 自己 的 账户 信息 吗 ,我 能 查 我 自己 的 账户 信息 吗
236,! 户口本 ! 查账 ! 户,3,! 户口 ! 本 ! 查 ! 账户,4, 我 能 拿 户口本 去 查账 户 信息 吗 ,我 能 拿 户口 本 去 查 账户 信息 吗
237,! 查到,1,! 查 ! 到,2, 我 能 在 网点 查到 自己 的 个人 资料 吗 ,我 能 在 网点 查 到 自己 的 个人 资料 吗
