,领域,类别,问题,扩展问题,SegmentedInput,SegmentedTarget
117,个人存款,定期存款,整存整取计算利息有什么规定,整存整取怎么计算利息,整存整取_id 怎么_r 计算_v 利息_n,整存整取_id 计算_v 利息_n 有_v 什么_r 规定_n
118,个人存款,定期存款,整存整取计算利息有什么规定,整存整取支取有什么要求,整存整取支_id 取有_v 什么_r 要求_v,整存整取_id 计算_v 利息_n 有_v 什么_r 规定_n
119,个人存款,定期存款,整存整取起存金额是多少,办理六个月定期最少多少钱,办理_v 六_m 个_q 月_n 定期_d 最_d 少_a 多少_r 钱_n,整存整取_id 起存_v 金额_n 是_v 多少_r
120,个人存款,定期存款,整存整取起存金额是多少,办理三个月定期最少多少钱,办理_v 三_m 个_q 月_n 定期_d 最_d 少_a 多少_r 钱_n,整存整取_id 起存_v 金额_n 是_v 多少_r
121,个人存款,定期存款,整存整取起存金额是多少,办理一年整存整取定期最少存多少钱,办理_v 一_m 年_q 整存整取_id 定期_d 最_d 少_a 存_v 多少_r 钱_n,整存整取_id 起存_v 金额_n 是_v 多少_r
122,个人存款,定期存款,整存整取起存金额是多少,定期最少存多少钱,定期_d 最_d 少_a 存_v 多少_r 钱_n,整存整取_id 起存_v 金额_n 是_v 多少_r
123,个人存款,定期存款,整存整取起存金额是多少,死期最少存多少钱,死期_v 最_d 少_a 存_v 多少_r 钱_n,整存整取_id 起存_v 金额_n 是_v 多少_r
124,个人存款,定期存款,整存整取起存金额是多少,我存100定期可以吗,我_r 存_v 100_m 定期_d 可以_v 吗_u,整存整取_id 起存_v 金额_n 是_v 多少_r
125,个人存款,定期存款,整存整取起存金额是多少,我存10元定期可以吗,我_r 存_v 10_m 元_q 定期_d 可以_v 吗_u,整存整取_id 起存_v 金额_n 是_v 多少_r
126,个人存款,定期存款,整存整取起存金额是多少,我存1元定期可以吗,我_r 存_v 1_m 元_q 定期_d 可以_v 吗_u,整存整取_id 起存_v 金额_n 是_v 多少_r
127,个人存款,定期存款,整存整取起存金额是多少,我想存定期一般多少起存,我_r 想_v 存_v 定期_d 一般_a 多少_r 起存_v,整存整取_id 起存_v 金额_n 是_v 多少_r
128,个人存款,定期存款,整存整取起存金额是多少,整存整取定期最少存多少钱,整存整取_id 定期_d 最_d 少_a 存_v 多少_r 钱_n,整存整取_id 起存_v 金额_n 是_v 多少_r
129,个人存款,定期存款,整存整取如何开户,存死期银行能代办吗,存死期_j 银行_n 能_v 代办_v 吗_u,整存整取_id 如何_r 开户_v
130,个人存款,定期存款,整存整取如何开户,定期存款带什么去柜台办理,定期_a 存款_n 带_v 什么_r 去_v 柜台_n 办理_v,整存整取_id 如何_r 开户_v
131,个人存款,定期存款,整存整取如何开户,柜台开定期都需要什么,柜台_n 开_v 定期_d 都_d 需要_v 什么_r,整存整取_id 如何_r 开户_v
132,个人存款,定期存款,整存整取如何开户,开定期存款开户直接去网点吗,开_v 定期_a 存款_n 开户_v 直接_a 去_v 网点_n 吗_u,整存整取_id 如何_r 开户_v
133,个人存款,定期存款,整存整取如何开户,开定期能代理吗,开_v 定期_d 能_v 代理_v 吗_u,整存整取_id 如何_r 开户_v
134,个人存款,定期存款,整存整取如何开户,开定期需要开身份证吗,开_v 定期_d 需要_v 开_v 身份证_n 吗_u,整存整取_id 如何_r 开户_v
135,个人存款,定期存款,整存整取如何开户,朋友替我开个整存定期可以吗,朋友_n 替_p 我_r 开_v 个_q 整_m 存_v 定期_d 可以_v 吗_u,整存整取_id 如何_r 开户_v
136,个人存款,定期存款,整存整取如何开户,我想给我孩子办理定期可以吗,我_r 想_v 给_p 我_r 孩子_n 办理_v 定期_a 可以_v 吗_u,整存整取_id 如何_r 开户_v
137,个人存款,定期存款,整存整取如何开户,我想开定期存款怎么办,我_r 想_v 开_v 定期_a 存款_n 怎么办_r,整存整取_id 如何_r 开户_v
138,个人存款,定期存款,整存整取如何开户,整存整取需要带什么开户,整存整取_id 需要_v 带_v 什么_r 开户_v,整存整取_id 如何_r 开户_v
139,个人存款,定期存款,整存整取销户如何办理,定期存单如何销户,定期_a 存单_n 如何_r 销_v 户_g,整存整取_id 销_v 户_g 如何_r 办理_v
140,个人存款,定期存款,整存整取销户如何办理,定期存折如何销户,定期_a 存折_n 如何_r 销_v 户_g,整存整取_id 销_v 户_g 如何_r 办理_v
141,个人存款,定期存款,整存整取销户如何办理,定期销户能代办吗,定期_d 销_v 户_g 能_v 代办_v 吗_u,整存整取_id 销_v 户_g 如何_r 办理_v
142,个人存款,定期存款,整存整取销户如何办理,定期整存销户要不要代身份证,定期_d 整存_v 销_v 户_g 要_v 不_d 要_v 代_v 身份证_n,整存整取_id 销_v 户_g 如何_r 办理_v
